Major,Classification
Environmental Science/Studies,STEM
African Studies,Area Studies and Languages
Latin American Studies,Area Studies and Languages
Russian and Slavic Area Studies,Area Studies and Languages
South Asian Studies,Area Studies and Languages
"Ethnic and Cultural Studies, Other",Social Sciences
"Computer and Information Sciences, Gen.",CS and Data Science
Linguistics,Humanities and Art
"East/Southeast Asian Lang. & Lit., Oth.",Area Studies and Languages
Slavic Lang. & Lit. (Other Than Russian),Area Studies and Languages
German Language and Literature,Area Studies and Languages
South Asian Languages and Literatures,Area Studies and Languages
"Romance Languages and Literatures, Other",Area Studies and Languages
"Mid Eastern Languages & Literatures, Oth",Area Studies and Languages
Classics & Classical Languages and Lit,Humanities and Art
Classical & Ancient Near Eastern Lang.,Area Studies and Languages
"English Language and Literature, General",Humanities and Art
Comparative Literature,Humanities and Art
Liberal Arts & Sciences/Liberal Studies,Humanities and Art
Humanities/Humanistic Studies,Humanities and Art
"Biology, General",STEM
Mathematics,Math and Allied Fields
Mathematical Statistics,Math and Allied Fields
Medieval and Renaissance Studies,Humanities and Art
Philosophy,Humanities and Art
"Chemistry, General",STEM
"Chemistry, Other",STEM
Geophysics and Seismology,STEM
"Physics, General",STEM
"Psychology, General",Social Sciences
Public Policy Analysis,Social Sciences
Anthropology,Social Sciences
"Economics, General",Economics
Geography,Social Sciences
"History, General",Social Sciences
History & Philosophy of Science and Tech,Humanities and Art
International Relations and Affairs,Social Sciences
"Political Science, General",Social Sciences
Sociology,Social Sciences
"Social Sciences and History, Other",Social Sciences
Film/Cinema Studies,Humanities and Art
"Art, General",Humanities and Art
"Art History, Criticism and Conservation",Humanities and Art
"Music, General",Humanities and Art
Jewish/Judaic Studies,Area Studies and Languages
"Education, General",Social Sciences
Biochemistry,STEM
Biblical & Oth Theological Lang. & Lit.,Humanities and Art
"Social Sciences, General",Social Sciences
Environmental Studies,STEM
Russian Studies,Area Studies and Languages
"Ethnic, Cultural Minority, and Gender Studies, Other",Social Sciences
Computer Science,CS and Data Science
"East Asian Languages, Literatures, and Linguistics, Other",Area Studies and Languages
"Slavic Languages, Literatures, and Linguistics, General",Area Studies and Languages
"South Asian Languages, Literatures, and Linguistics, General",Area Studies and Languages
"Romance Languages, Literatures, and Linguistics, Other",Area Studies and Languages
"Ancient Near Eastern/Biblical Languages, Lit & Linguistics",Area Studies and Languages
"Middle/Near Eastern/Semitic Languages, Lit & Linguistics, Other",Area Studies and Languages
"Classics/Classical Languages, Lit & Linguistics, General",Humanities and Art
"Classics/Classical Languages, Lit & Linguistics, Other",Humanities and Art
Liberal Arts and Sciences/Liberal Studies,Humanities and Art
"Biology/Biological Sciences, General",STEM
"Mathematics, General",Math and Allied Fields
"Statistics, General",Math and Allied Fields
Theology/Theological Studies,Humanities and Art
Counseling Psychology,Social Sciences
"Political Science and Government, General",Social Sciences
"Social Sciences, Other",Social Sciences
"Visual and Performing Arts, Other",Humanities and Art
History and Philosophy of Science and Technology,Humanities and Art
Directing and Theatrical Production,Humanities and Art
"Ethnic, Cultural Minority, Gender, and Group Studies, Other",Social Sciences
"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics",Area Studies and Languages
"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other",Area Studies and Languages
"Classics and Classical Languages, Literatures, and Linguistics, General",Humanities and Art
"Classics and Classical Languages, Literatures, and Linguistics, Other",Humanities and Art
"Public Policy Analysis, General",Social Sciences
Film/Cinema/Video Studies,Humanities and Art
"Design and Visual Communications, General",Humanities and Art
Experimental Psychology,Social Sciences
Econometrics and Quantitative Economics,Economics
Pre-Medicine/Pre-Medical Studies,STEM
Near and Middle Eastern Studies,Area Studies and Languages
Chemical and Biomolecular Engineering,STEM
Neuroscience,STEM
Social Work,Social Sciences
Creative Writing,Humanities and Art
Astronomy,STEM
"Anthropology, General",Social Sciences
"Sociology, General",Social Sciences
Film/Cinema/Media Studies,Humanities and Art
Systems Science and Theory,STEM
Digital Communication and Media/Multimedia,Humanities and Art
"Computer Programming, Other",CS and Data Science
"Cognitive Science, General",STEM
International Policy Analysis,Social Sciences
