year,school_id,cipcode,major_number,total,instnm
2005,130794,03.0103,1,7,Yale University
2005,130794,04.0201,1,19,Yale University
2005,130794,05.0101,1,6,Yale University
2005,130794,05.0101,2,1,Yale University
2005,130794,05.0102,1,33,Yale University
2005,130794,05.0107,1,7,Yale University
2005,130794,05.0107,2,3,Yale University
2005,130794,05.0110,1,2,Yale University
2005,130794,05.0123,1,2,Yale University
2005,130794,05.0123,2,1,Yale University
2005,130794,05.0125,1,0,Yale University
2005,130794,05.0125,2,1,Yale University
2005,130794,05.0127,1,3,Yale University
2005,130794,05.0127,2,3,Yale University
2005,130794,05.0199,1,4,Yale University
2005,130794,05.0199,2,1,Yale University
2005,130794,05.0201,1,1,Yale University
2005,130794,05.0207,1,4,Yale University
2005,130794,05.0207,2,1,Yale University
2005,130794,05.0299,1,0,Yale University
2005,130794,05.0299,2,11,Yale University
2005,130794,11.0101,1,20,Yale University
2005,130794,11.0101,2,3,Yale University
2005,130794,14.0101,1,0,Yale University
2005,130794,14.0501,1,11,Yale University
2005,130794,14.0501,2,1,Yale University
2005,130794,14.0701,1,5,Yale University
2005,130794,14.1001,1,4,Yale University
2005,130794,14.1201,1,6,Yale University
2005,130794,14.1301,1,12,Yale University
2005,130794,14.1301,2,3,Yale University
2005,130794,14.1401,1,7,Yale University
2005,130794,14.1901,1,9,Yale University
2005,130794,16.0102,1,3,Yale University
2005,130794,16.0104,1,1,Yale University
2005,130794,16.0301,1,1,Yale University
2005,130794,16.0301,2,1,Yale University
2005,130794,16.0302,1,1,Yale University
2005,130794,16.0402,1,0,Yale University
2005,130794,16.0500,1,1,Yale University
2005,130794,16.0901,1,3,Yale University
2005,130794,16.0901,2,7,Yale University
2005,130794,16.0902,1,1,Yale University
2005,130794,16.0902,2,1,Yale University
2005,130794,16.0904,1,0,Yale University
2005,130794,16.0905,1,5,Yale University
2005,130794,16.0905,2,3,Yale University
2005,130794,16.1103,1,3,Yale University
2005,130794,16.1103,2,5,Yale University
2005,130794,16.1200,1,0,Yale University
2005,130794,16.1202,1,4,Yale University
2005,130794,16.1203,1,3,Yale University
